,Country/Region,Date,Value,Type,Diff,Week
134,Albania,2020-03-22,89,Cases,13.0,47.0
135,Albania,2020-03-23,104,Cases,15.0,53.0
136,Albania,2020-03-24,123,Cases,19.0,68.0
137,Albania,2020-03-25,146,Cases,23.0,87.0
138,Albania,2020-03-26,174,Cases,28.0,110.0
139,Albania,2020-03-27,186,Cases,12.0,116.0
140,Albania,2020-03-28,197,Cases,11.0,121.0
141,Albania,2020-03-29,212,Cases,15.0,123.0
142,Albania,2020-03-30,223,Cases,11.0,119.0
143,Albania,2020-03-31,243,Cases,20.0,120.0
144,Albania,2020-04-01,259,Cases,16.0,113.0
145,Albania,2020-04-02,277,Cases,18.0,103.0
146,Albania,2020-04-03,304,Cases,27.0,118.0
147,Albania,2020-04-04,333,Cases,29.0,136.0
148,Algeria,2020-01-22,0,Cases,,
149,Algeria,2020-01-23,0,Cases,0.0,
150,Algeria,2020-01-24,0,Cases,0.0,
151,Algeria,2020-01-25,0,Cases,0.0,
152,Algeria,2020-01-26,0,Cases,0.0,
153,Algeria,2020-01-27,0,Cases,0.0,
154,Algeria,2020-01-28,0,Cases,0.0,
155,Algeria,2020-01-29,0,Cases,0.0,0.0
156,Algeria,2020-01-30,0,Cases,0.0,0.0
157,Algeria,2020-01-31,0,Cases,0.0,0.0
158,Algeria,2020-02-01,0,Cases,0.0,0.0
159,Algeria,2020-02-02,0,Cases,0.0,0.0
160,Algeria,2020-02-03,0,Cases,0.0,0.0
161,Algeria,2020-02-04,0,Cases,0.0,0.0
162,Algeria,2020-02-05,0,Cases,0.0,0.0
163,Algeria,2020-02-06,0,Cases,0.0,0.0
164,Algeria,2020-02-07,0,Cases,0.0,0.0
165,Algeria,2020-02-08,0,Cases,0.0,0.0
166,Algeria,2020-02-09,0,Cases,0.0,0.0
167,Algeria,2020-02-10,0,Cases,0.0,0.0
168,Algeria,2020-02-11,0,Cases,0.0,0.0
169,Algeria,2020-02-12,0,Cases,0.0,0.0
170,Algeria,2020-02-13,0,Cases,0.0,0.0
171,Algeria,2020-02-14,0,Cases,0.0,0.0
172,Algeria,2020-02-15,0,Cases,0.0,0.0
173,Algeria,2020-02-16,0,Cases,0.0,0.0
174,Algeria,2020-02-17,0,Cases,0.0,0.0
175,Algeria,2020-02-18,0,Cases,0.0,0.0
176,Algeria,2020-02-19,0,Cases,0.0,0.0
177,Algeria,2020-02-20,0,Cases,0.0,0.0
178,Algeria,2020-02-21,0,Cases,0.0,0.0
179,Algeria,2020-02-22,0,Cases,0.0,0.0
180,Algeria,2020-02-23,0,Cases,0.0,0.0
181,Algeria,2020-02-24,0,Cases,0.0,0.0
182,Algeria,2020-02-25,1,Cases,1.0,1.0
183,Algeria,2020-02-26,1,Cases,0.0,1.0
184,Algeria,2020-02-27,1,Cases,0.0,1.0
185,Algeria,2020-02-28,1,Cases,0.0,1.0
186,Algeria,2020-02-29,1,Cases,0.0,1.0
187,Algeria,2020-03-01,1,Cases,0.0,1.0
188,Algeria,2020-03-02,3,Cases,2.0,3.0
189,Algeria,2020-03-03,5,Cases,2.0,4.0
190,Algeria,2020-03-04,12,Cases,7.0,11.0
191,Algeria,2020-03-05,12,Cases,0.0,11.0
192,Algeria,2020-03-06,17,Cases,5.0,16.0
193,Algeria,2020-03-07,17,Cases,0.0,16.0
194,Algeria,2020-03-08,19,Cases,2.0,18.0
195,Algeria,2020-03-09,20,Cases,1.0,17.0
196,Algeria,2020-03-10,20,Cases,0.0,15.0
197,Algeria,2020-03-11,20,Cases,0.0,8.0
198,Algeria,2020-03-12,24,Cases,4.0,12.0
199,Algeria,2020-03-13,26,Cases,2.0,9.0
200,Algeria,2020-03-14,37,Cases,11.0,20.0
201,Algeria,2020-03-15,48,Cases,11.0,29.0
202,Algeria,2020-03-16,54,Cases,6.0,34.0
203,Algeria,2020-03-17,60,Cases,6.0,40.0
204,Algeria,2020-03-18,74,Cases,14.0,54.0
205,Algeria,2020-03-19,87,Cases,13.0,63.0
206,Algeria,2020-03-20,90,Cases,3.0,64.0
207,Algeria,2020-03-21,139,Cases,49.0,102.0
208,Algeria,2020-03-22,201,Cases,62.0,153.0
209,Algeria,2020-03-23,230,Cases,29.0,176.0
210,Algeria,2020-03-24,264,Cases,34.0,204.0
211,Algeria,2020-03-25,302,Cases,38.0,228.0
212,Algeria,2020-03-26,367,Cases,65.0,280.0
213,Algeria,2020-03-27,409,Cases,42.0,319.0
214,Algeria,2020-03-28,454,Cases,45.0,315.0
215,Algeria,2020-03-29,511,Cases,57.0,310.0
216,Algeria,2020-03-30,584,Cases,73.0,354.0
217,Algeria,2020-03-31,716,Cases,132.0,452.0
218,Algeria,2020-04-01,847,Cases,131.0,545.0
219,Algeria,2020-04-02,986,Cases,139.0,619.0
220,Algeria,2020-04-03,1171,Cases,185.0,762.0
221,Algeria,2020-04-04,1251,Cases,80.0,797.0
222,Andorra,2020-01-22,0,Cases,,
223,Andorra,2020-01-23,0,Cases,0.0,
224,Andorra,2020-01-24,0,Cases,0.0,
225,Andorra,2020-01-25,0,Cases,0.0,
226,Andorra,2020-01-26,0,Cases,0.0,
227,Andorra,2020-01-27,0,Cases,0.0,
228,Andorra,2020-01-28,0,Cases,0.0,
229,Andorra,2020-01-29,0,Cases,0.0,0.0
230,Andorra,2020-01-30,0,Cases,0.0,0.0
231,Andorra,2020-01-31,0,Cases,0.0,0.0
232,Andorra,2020-02-01,0,Cases,0.0,0.0
233,Andorra,2020-02-02,0,Cases,0.0,0.0
234,Andorra,2020-02-03,0,Cases,0.0,0.0
235,Andorra,2020-02-04,0,Cases,0.0,0.0
236,Andorra,2020-02-05,0,Cases,0.0,0.0
237,Andorra,2020-02-06,0,Cases,0.0,0.0
238,Andorra,2020-02-07,0,Cases,0.0,0.0
239,Andorra,2020-02-08,0,Cases,0.0,0.0
240,Andorra,2020-02-09,0,Cases,0.0,0.0
241,Andorra,2020-02-10,0,Cases,0.0,0.0
242,Andorra,2020-02-11,0,Cases,0.0,0.0
243,Andorra,2020-02-12,0,Cases,0.0,0.0
244,Andorra,2020-02-13,0,Cases,0.0,0.0
245,Andorra,2020-02-14,0,Cases,0.0,0.0
246,Andorra,2020-02-15,0,Cases,0.0,0.0
247,Andorra,2020-02-16,0,Cases,0.0,0.0
248,Andorra,2020-02-17,0,Cases,0.0,0.0
249,Andorra,2020-02-18,0,Cases,0.0,0.0
250,Andorra,2020-02-19,0,Cases,0.0,0.0
251,Andorra,2020-02-20,0,Cases,0.0,0.0
252,Andorra,2020-02-21,0,Cases,0.0,0.0
253,Andorra,2020-02-22,0,Cases,0.0,0.0
254,Andorra,2020-02-23,0,Cases,0.0,0.0
255,Andorra,2020-02-24,0,Cases,0.0,0.0
256,Andorra,2020-02-25,0,Cases,0.0,0.0
257,Andorra,2020-02-26,0,Cases,0.0,0.0
258,Andorra,2020-02-27,0,Cases,0.0,0.0
259,Andorra,2020-02-28,0,Cases,0.0,0.0
260,Andorra,2020-02-29,0,Cases,0.0,0.0
261,Andorra,2020-03-01,0,Cases,0.0,0.0
262,Andorra,2020-03-02,1,Cases,1.0,1.0
263,Andorra,2020-03-03,1,Cases,0.0,1.0
264,Andorra,2020-03-04,1,Cases,0.0,1.0
265,Andorra,2020-03-05,1,Cases,0.0,1.0
266,Andorra,2020-03-06,1,Cases,0.0,1.0
267,Andorra,2020-03-07,1,Cases,0.0,1.0
268,Andorra,2020-03-08,1,Cases,0.0,1.0
269,Andorra,2020-03-09,1,Cases,0.0,0.0
270,Andorra,2020-03-10,1,Cases,0.0,0.0
271,Andorra,2020-03-11,1,Cases,0.0,0.0
272,Andorra,2020-03-12,1,Cases,0.0,0.0
273,Andorra,2020-03-13,1,Cases,0.0,0.0
274,Andorra,2020-03-14,1,Cases,0.0,0.0
275,Andorra,2020-03-15,1,Cases,0.0,0.0
276,Andorra,2020-03-16,2,Cases,1.0,1.0
277,Andorra,2020-03-17,39,Cases,37.0,38.0
278,Andorra,2020-03-18,39,Cases,0.0,38.0
279,Andorra,2020-03-19,53,Cases,14.0,52.0
280,Andorra,2020-03-20,75,Cases,22.0,74.0
281,Andorra,2020-03-21,88,Cases,13.0,87.0
282,Andorra,2020-03-22,113,Cases,25.0,112.0
283,Andorra,2020-03-23,133,Cases,20.0,131.0
284,Andorra,2020-03-24,164,Cases,31.0,125.0
285,Andorra,2020-03-25,188,Cases,24.0,149.0
286,Andorra,2020-03-26,224,Cases,36.0,171.0
287,Andorra,2020-03-27,267,Cases,43.0,192.0
288,Andorra,2020-03-28,308,Cases,41.0,220.0
289,Andorra,2020-03-29,334,Cases,26.0,221.0
290,Andorra,2020-03-30,370,Cases,36.0,237.0
291,Andorra,2020-03-31,376,Cases,6.0,212.0
292,Andorra,2020-04-01,390,Cases,14.0,202.0
293,Andorra,2020-04-02,428,Cases,38.0,204.0
294,Andorra,2020-04-03,439,Cases,11.0,172.0
295,Andorra,2020-04-04,466,Cases,27.0,158.0
296,Angola,2020-01-22,0,Cases,,
297,Angola,2020-01-23,0,Cases,0.0,
298,Angola,2020-01-24,0,Cases,0.0,
299,Angola,2020-01-25,0,Cases,0.0,
300,Angola,2020-01-26,0,Cases,0.0,
301,Angola,2020-01-27,0,Cases,0.0,
302,Angola,2020-01-28,0,Cases,0.0,
303,Angola,2020-01-29,0,Cases,0.0,0.0
304,Angola,2020-01-30,0,Cases,0.0,0.0
305,Angola,2020-01-31,0,Cases,0.0,0.0
306,Angola,2020-02-01,0,Cases,0.0,0.0
307,Angola,2020-02-02,0,Cases,0.0,0.0
308,Angola,2020-02-03,0,Cases,0.0,0.0
309,Angola,2020-02-04,0,Cases,0.0,0.0
310,Angola,2020-02-05,0,Cases,0.0,0.0
311,Angola,2020-02-06,0,Cases,0.0,0.0
312,Angola,2020-02-07,0,Cases,0.0,0.0
313,Angola,2020-02-08,0,Cases,0.0,0.0
314,Angola,2020-02-09,0,Cases,0.0,0.0
315,Angola,2020-02-10,0,Cases,0.0,0.0
316,Angola,2020-02-11,0,Cases,0.0,0.0
317,Angola,2020-02-12,0,Cases,0.0,0.0
318,Angola,2020-02-13,0,Cases,0.0,0.0
319,Angola,2020-02-14,0,Cases,0.0,0.0
320,Angola,2020-02-15,0,Cases,0.0,0.0
321,Angola,2020-02-16,0,Cases,0.0,0.0
322,Angola,2020-02-17,0,Cases,0.0,0.0
323,Angola,2020-02-18,0,Cases,0.0,0.0
324,Angola,2020-02-19,0,Cases,0.0,0.0
325,Angola,2020-02-20,0,Cases,0.0,0.0
326,Angola,2020-02-21,0,Cases,0.0,0.0
327,Angola,2020-02-22,0,Cases,0.0,0.0
328,Angola,2020-02-23,0,Cases,0.0,0.0
329,Angola,2020-02-24,0,Cases,0.0,0.0
330,Angola,2020-02-25,0,Cases,0.0,0.0
331,Angola,2020-02-26,0,Cases,0.0,0.0
332,Angola,2020-02-27,0,Cases,0.0,0.0
333,Angola,2020-02-28,0,Cases,0.0,0.0
334,Angola,2020-02-29,0,Cases,0.0,0.0
335,Angola,2020-03-01,0,Cases,0.0,0.0
336,Angola,2020-03-02,0,Cases,0.0,0.0
337,Angola,2020-03-03,0,Cases,0.0,0.0
338,Angola,2020-03-04,0,Cases,0.0,0.0
339,Angola,2020-03-05,0,Cases,0.0,0.0
340,Angola,2020-03-06,0,Cases,0.0,0.0
341,Angola,2020-03-07,0,Cases,0.0,0.0
342,Angola,2020-03-08,0,Cases,0.0,0.0
343,Angola,2020-03-09,0,Cases,0.0,0.0
344,Angola,2020-03-10,0,Cases,0.0,0.0
345,Angola,2020-03-11,0,Cases,0.0,0.0
346,Angola,2020-03-12,0,Cases,0.0,0.0
347,Angola,2020-03-13,0,Cases,0.0,0.0
348,Angola,2020-03-14,0,Cases,0.0,0.0
349,Angola,2020-03-15,0,Cases,0.0,0.0
350,Angola,2020-03-16,0,Cases,0.0,0.0
351,Angola,2020-03-17,0,Cases,0.0,0.0
352,Angola,2020-03-18,0,Cases,0.0,0.0
353,Angola,2020-03-19,0,Cases,0.0,0.0
354,Angola,2020-03-20,1,Cases,1.0,1.0
355,Angola,2020-03-21,2,Cases,1.0,2.0
356,Angola,2020-03-22,2,Cases,0.0,2.0
357,Angola,2020-03-23,3,Cases,1.0,3.0
358,Angola,2020-03-24,3,Cases,0.0,3.0
359,Angola,2020-03-25,3,Cases,0.0,3.0
360,Angola,2020-03-26,4,Cases,1.0,4.0
361,Angola,2020-03-27,4,Cases,0.0,3.0
362,Angola,2020-03-28,5,Cases,1.0,3.0
363,Angola,2020-03-29,7,Cases,2.0,5.0
364,Angola,2020-03-30,7,Cases,0.0,4.0
365,Angola,2020-03-31,7,Cases,0.0,4.0
366,Angola,2020-04-01,8,Cases,1.0,5.0
367,Angola,2020-04-02,8,Cases,0.0,4.0
368,Angola,2020-04-03,8,Cases,0.0,4.0
369,Angola,2020-04-04,10,Cases,2.0,5.0
370,Antigua and Barbuda,2020-01-22,0,Cases,,
371,Antigua and Barbuda,2020-01-23,0,Cases,0.0,
372,Antigua and Barbuda,2020-01-24,0,Cases,0.0,
373,Antigua and Barbuda,2020-01-25,0,Cases,0.0,
374,Antigua and Barbuda,2020-01-26,0,Cases,0.0,
375,Antigua and Barbuda,2020-01-27,0,Cases,0.0,
376,Antigua and Barbuda,2020-01-28,0,Cases,0.0,
377,Antigua and Barbuda,2020-01-29,0,Cases,0.0,0.0
378,Antigua and Barbuda,2020-01-30,0,Cases,0.0,0.0
379,Antigua and Barbuda,2020-01-31,0,Cases,0.0,0.0
380,Antigua and Barbuda,2020-02-01,0,Cases,0.0,0.0
381,Antigua and Barbuda,2020-02-02,0,Cases,0.0,0.0
382,Antigua and Barbuda,2020-02-03,0,Cases,0.0,0.0
383,Antigua and Barbuda,2020-02-04,0,Cases,0.0,0.0
384,Antigua and Barbuda,2020-02-05,0,Cases,0.0,0.0
385,Antigua and Barbuda,2020-02-06,0,Cases,0.0,0.0
386,Antigua and Barbuda,2020-02-07,0,Cases,0.0,0.0
387,Antigua and Barbuda,2020-02-08,0,Cases,0.0,0.0
388,Antigua and Barbuda,2020-02-09,0,Cases,0.0,0.0
389,Antigua and Barbuda,2020-02-10,0,Cases,0.0,0.0
390,Antigua and Barbuda,2020-02-11,0,Cases,0.0,0.0
391,Antigua and Barbuda,2020-02-12,0,Cases,0.0,0.0
392,Antigua and Barbuda,2020-02-13,0,Cases,0.0,0.0
393,Antigua and Barbuda,2020-02-14,0,Cases,0.0,0.0
394,Antigua and Barbuda,2020-02-15,0,Cases,0.0,0.0
395,Antigua and Barbuda,2020-02-16,0,Cases,0.0,0.0
396,Antigua and Barbuda,2020-02-17,0,Cases,0.0,0.0
397,Antigua and Barbuda,2020-02-18,0,Cases,0.0,0.0
398,Antigua and Barbuda,2020-02-19,0,Cases,0.0,0.0
399,Antigua and Barbuda,2020-02-20,0,Cases,0.0,0.0
400,Antigua and Barbuda,2020-02-21,0,Cases,0.0,0.0
401,Antigua and Barbuda,2020-02-22,0,Cases,0.0,0.0
402,Antigua and Barbuda,2020-02-23,0,Cases,0.0,0.0
403,Antigua and Barbuda,2020-02-24,0,Cases,0.0,0.0
404,Antigua and Barbuda,2020-02-25,0,Cases,0.0,0.0
405,Antigua and Barbuda,2020-02-26,0,Cases,0.0,0.0
406,Antigua and Barbuda,2020-02-27,0,Cases,0.0,0.0
407,Antigua and Barbuda,2020-02-28,0,Cases,0.0,0.0
408,Antigua and Barbuda,2020-02-29,0,Cases,0.0,0.0
409,Antigua and Barbuda,2020-03-01,0,Cases,0.0,0.0
410,Antigua and Barbuda,2020-03-02,0,Cases,0.0,0.0
411,Antigua and Barbuda,2020-03-03,0,Cases,0.0,0.0
412,Antigua and Barbuda,2020-03-04,0,Cases,0.0,0.0
413,Antigua and Barbuda,2020-03-05,0,Cases,0.0,0.0
414,Antigua and Barbuda,2020-03-06,0,Cases,0.0,0.0
415,Antigua and Barbuda,2020-03-07,0,Cases,0.0,0.0
416,Antigua and Barbuda,2020-03-08,0,Cases,0.0,0.0
417,Antigua and Barbuda,2020-03-09,0,Cases,0.0,0.0
418,Antigua and Barbuda,2020-03-10,0,Cases,0.0,0.0
419,Antigua and Barbuda,2020-03-11,0,Cases,0.0,0.0
420,Antigua and Barbuda,2020-03-12,0,Cases,0.0,0.0
421,Antigua and Barbuda,2020-03-13,1,Cases,1.0,1.0
422,Antigua and Barbuda,2020-03-14,1,Cases,0.0,1.0
423,Antigua and Barbuda,2020-03-15,1,Cases,0.0,1.0
424,Antigua and Barbuda,2020-03-16,1,Cases,0.0,1.0
425,Antigua and Barbuda,2020-03-17,1,Cases,0.0,1.0
426,Antigua and Barbuda,2020-03-18,1,Cases,0.0,1.0
427,Antigua and Barbuda,2020-03-19,1,Cases,0.0,1.0
428,Antigua and Barbuda,2020-03-20,1,Cases,0.0,0.0
429,Antigua and Barbuda,2020-03-21,1,Cases,0.0,0.0
430,Antigua and Barbuda,2020-03-22,1,Cases,0.0,0.0
431,Antigua and Barbuda,2020-03-23,3,Cases,2.0,2.0
432,Antigua and Barbuda,2020-03-24,3,Cases,0.0,2.0
433,Antigua and Barbuda,2020-03-25,3,Cases,0.0,2.0
434,Antigua and Barbuda,2020-03-26,7,Cases,4.0,6.0
435,Antigua and Barbuda,2020-03-27,7,Cases,0.0,6.0
436,Antigua and Barbuda,2020-03-28,7,Cases,0.0,6.0
437,Antigua and Barbuda,2020-03-29,7,Cases,0.0,6.0
438,Antigua and Barbuda,2020-03-30,7,Cases,0.0,4.0
439,Antigua and Barbuda,2020-03-31,7,Cases,0.0,4.0
440,Antigua and Barbuda,2020-04-01,7,Cases,0.0,4.0
441,Antigua and Barbuda,2020-04-02,9,Cases,2.0,2.0
442,Antigua and Barbuda,2020-04-03,15,Cases,6.0,8.0
443,Antigua and Barbuda,2020-04-04,15,Cases,0.0,8.0
444,Argentina,2020-01-22,0,Cases,,
445,Argentina,2020-01-23,0,Cases,0.0,
446,Argentina,2020-01-24,0,Cases,0.0,
447,Argentina,2020-01-25,0,Cases,0.0,
448,Argentina,2020-01-26,0,Cases,0.0,
449,Argentina,2020-01-27,0,Cases,0.0,
450,Argentina,2020-01-28,0,Cases,0.0,
451,Argentina,2020-01-29,0,Cases,0.0,0.0
452,Argentina,2020-01-30,0,Cases,0.0,0.0
453,Argentina,2020-01-31,0,Cases,0.0,0.0
454,Argentina,2020-02-01,0,Cases,0.0,0.0
455,Argentina,2020-02-02,0,Cases,0.0,0.0
456,Argentina,2020-02-03,0,Cases,0.0,0.0
457,Argentina,2020-02-04,0,Cases,0.0,0.0
458,Argentina,2020-02-05,0,Cases,0.0,0.0
459,Argentina,2020-02-06,0,Cases,0.0,0.0
460,Argentina,2020-02-07,0,Cases,0.0,0.0
461,Argentina,2020-02-08,0,Cases,0.0,0.0
462,Argentina,2020-02-09,0,Cases,0.0,0.0
463,Argentina,2020-02-10,0,Cases,0.0,0.0
464,Argentina,2020-02-11,0,Cases,0.0,0.0
465,Argentina,2020-02-12,0,Cases,0.0,0.0
466,Argentina,2020-02-13,0,Cases,0.0,0.0
467,Argentina,2020-02-14,0,Cases,0.0,0.0
468,Argentina,2020-02-15,0,Cases,0.0,0.0
469,Argentina,2020-02-16,0,Cases,0.0,0.0
470,Argentina,2020-02-17,0,Cases,0.0,0.0
471,Argentina,2020-02-18,0,Cases,0.0,0.0
472,Argentina,2020-02-19,0,Cases,0.0,0.0
473,Argentina,2020-02-20,0,Cases,0.0,0.0
474,Argentina,2020-02-21,0,Cases,0.0,0.0
475,Argentina,2020-02-22,0,Cases,0.0,0.0
476,Argentina,2020-02-23,0,Cases,0.0,0.0
477,Argentina,2020-02-24,0,Cases,0.0,0.0
478,Argentina,2020-02-25,0,Cases,0.0,0.0
479,Argentina,2020-02-26,0,Cases,0.0,0.0
480,Argentina,2020-02-27,0,Cases,0.0,0.0
481,Argentina,2020-02-28,0,Cases,0.0,0.0
482,Argentina,2020-02-29,0,Cases,0.0,0.0
483,Argentina,2020-03-01,0,Cases,0.0,0.0
484,Argentina,2020-03-02,0,Cases,0.0,0.0
485,Argentina,2020-03-03,1,Cases,1.0,1.0
486,Argentina,2020-03-04,1,Cases,0.0,1.0
487,Argentina,2020-03-05,1,Cases,0.0,1.0
